,title,salary,company,location,tags,description,work_type,work_time,address,degree,department,working_experience,qualification_bonus,contact_person
0,AI資料工程師(桃園),薪資面議(經常性薪資達4萬元含以上),英業達股份有限公司,桃園市桃園區,,1.參與-資料安全設計-資料被安全的存取2.協助-內部系統資料串接-將AI與公司內部資料有效整合3.參與-AI資料治理-資料能有效管理與運用4.協助-新技術評估-運用新的技術提升資料管理效率,全職,,桃園市桃園區大智路88號(龜山工業區),大學,資訊管理學類、資訊工程學類,2 年以上,英文→聽：普通　說：普通　讀：普通　寫：普通,人才招募部
1,AI軟體工程師 (大溪),薪資面議(經常性薪資達4萬元含以上),英業達股份有限公司,桃園市大溪區,,我們正在尋找對人工智慧充滿熱情並渴望在快速發展的技術領域中發揮影響力的AI軟體工程師。加入我們的團隊，您將有機會參與前沿技術的研發和應用，推動公司的技術創新與進步。工作內容：1. 參與並追蹤最新的AI技術，提出改進方案，持續導入新AI技術，提升系統和應用場景2. 跨部門團隊合作，了解需求並轉化為AI解決方案3. 參與AI平台的建置和維護4. 參與GenAI應用的開發，開發符合需求的軟體功能,全職,,桃園市大溪區(依公司規定),大學以上,不拘,2 年以上,英文→聽：普通　說：普通　讀：普通　寫：普通,人才招募部
2,AI工程師,"月薪　40,000 至 45,000元",快樂島股份有限公司,台北市內湖區,"#免經驗
#二度就業
#彈性上下班",工作內容1.負責 AI/機器學習模型的開發、訓練與優化2.參與產品研發，將 AI 技術應用於戶外運動結合科技場景3.與數據團隊、軟體工程師合作，完成 AI 模型的部署與維護4.研究並落地最新 AI 技術，提高產品競爭力技能需求1.熟悉 Python（TensorFlow、PyTorch、Scikit-learn）、C++ 或其他相關語言2.熟悉 CNN、RNN、Transformer 等常見模型3.熟悉強化學習、推薦系統、自然語言處理（NLP）等技術4.有模型部署、監控與優化經驗（Docker、Kubernetes、TensorRT、ONNX）5.有計算機視覺、語音識別、生成式 AI（如 LLM、Diffusion Models）等應用經驗尤佳,全職,依公司規定,台北市內湖區瑞光路335號3樓(內湖科技園區),專科以上,工程相關、數學及統計相關,不拘,,黃俊頴
3,Data Scientist (士林),"月薪　55,000元以上",英業達股份有限公司,台北市士林區,,"英業達數位中心為一研究與發展部門，扁平化的組織型態，涵蓋專案經理、資料科學家、人工智慧研究員、以及軟體工程師均直屬於部門主管。我們對內與公司各部門合作，從資料出發，發現資料中隱含之潛力與價值，進而提出具有建設性的建議，負責公司數位轉型、資料驅動、人工智慧專案、可信賴人工智慧的開發，包含數位決策、挖掘資料價值、以及系統落地與執行等；對外也頻繁地與知名的國內外大學及企業夥伴合作。研發成果均鼓勵同仁投稿至學術會議與期刊、技術專利並期許產出能對世界產生影響！工作內容：1. 資料結構分析: 釐清資料定義、剖析資料特性、整合資料、資料視覺化2. 問題的定義和判別: 發掘與分析問題，提出觀察與建議，並與團隊合作建立機器學習模型演算法3. 研究及執行可數據驅動的解決方案: 實作並改良機器學習技術，分析並建構研發、製造、營銷、管理等數據指標部門額外福利：【專業延伸】定期舉辦讀書會，部門同仁自發性地講解不同的專業知識，延伸同仁的技能組。【接軌國際】鼓勵同仁參與國際會議，定額補助國際會議的差旅支出。The Inventec Digital Center is a research and development facility for all things related to Digital Transformation, Data-Centric AI, and Trustworthy AI. Our primary mission is to influence and empower business and corporate units with digital knowledge constructively and collaboratively. We are responsible for implementing the digital strategy, discovering insights from the data, and executing them in the company.We are a team with a broad spectrum of talents, including project managers, data scientists, AI researchers, and software engineers. The group is a flat organization, and we frequently collaborate with colleagues outside of our center, academic consultants, and business partners outside of the company. Our members thus enjoy the unique opportunity to publish in top-tier academic venues, author technical patents, and produce real-world impacts during their career in the center.1. Anchor the stakeholders' or users’ problems to conceptualize and prototype improvements with company data assets.2. Lead technical delivery on prototype analysis pipelines including but not limited to data collection, analytical method development, and presentation.3. Capture data-added value by discovering opportunities for new methods or applications.4. Coordinate projects and interact with cross-functional departments to enable a data-driven culture and make company data comprehensive, approachable, and trustworthy.",全職,彈性,台北市士林區承德路四段166號,大學以上,電算機相關、統計學類、電機電子工程相關,不拘,英文→聽：精通　說：精通　讀：精通　寫：精通中文→聽：精通　說：精通　讀：精通　寫：精通,HR
4,AI軟體工程師 (士林),薪資面議(經常性薪資達4萬元含以上),英業達股份有限公司,台北市士林區,,我們正在尋找對人工智慧充滿熱情並渴望在快速發展的技術領域中發揮影響力的AI軟體工程師。加入我們的團隊，您將有機會參與前沿技術的研發和應用，推動公司的技術創新與進步。工作內容：1. 參與並追蹤最新的AI技術，提出改進方案，持續導入新AI技術，提升系統和應用場景2. 跨部門團隊合作，了解需求並轉化為AI解決方案3. 參與AI平台的建置和維護4. 參與AI應用的開發，開發符合需求的軟體功能,全職,,台北市士林區後港街66號,大學,資訊管理學類、資訊工程學類、其他數學及統計學類,1 年以上,英文→聽：普通　說：普通　讀：普通　寫：普通,HR
5,資訊部-BI系統工程師,薪資面議(經常性薪資達4萬元含以上),王品餐飲股份有限公司,台中市西區,,王品集團 誠徵【資訊部-BI系統工程師】【職責內容】1. 深入了解 BI 專案需求，進行用戶訪談與系統分析，並撰寫相關技術文件。2. ETL 流程設計與開發，確保數據準確性與高效傳遞。3. 運用 MSSQL 建構 Data Warehouse 和 Data Mart。4. 利用 Tableau 開發數據分析報表，清晰呈現模型結果，支持管理決策。5. 負責 BI 系統的穩定運行及即時支援，確保業務持續性。,全職,08:30~17:30,台中市西區台灣大道2段218號26樓,大學,不拘,2 年以上,,人資發展部/招募組
6,[Server]DBA資料庫管理師(桃園),薪資面議(經常性薪資達4萬元含以上),英業達股份有限公司,桃園市桃園區,,1. 負責資料庫的安裝、配置及日常維護，確保資料庫的高效率穩定運作；2. 參與資料庫架構設計與最佳化，包括分庫分錶、負載平衡等，提升資料庫     的可用性與效能；3. 監控資料庫效能，定期進行資料庫效能分析與調優，解決資料庫運作中的瓶頸與問題；4. 實施並維護資料庫備份、復原策略，確保資料的安全性和可恢復性；5. 負責資料庫的使用者權限管理，確保資料存取的安全性，防止未經授權的     存取6. 負責資料庫的版本升級與遷移，保障資料庫系統的更新與相容性。,全職,08:00~17:00,桃園市桃園區大智路88號龜山工業區(龜山工業區),大學,資訊管理學類,不拘,英文→聽：略懂　說：略懂　讀：略懂　寫：略懂,人才招募部
7,營運部-系統設計與維護規劃師,"月薪　38,000 至 45,000元",王品餐飲股份有限公司,台中市西區,,"王品集團 誠徵【營運部-系統設計與維護規劃師】工作內容：1.報表製作、數據統計和分析業務數據:需熟悉Excel函數功能(Ex,Vlookup、Sumif、樞紐....等)2.進行系統設計、測試管理和系統流程優化3.專案規劃與執行",全職,08:30~17:30,台中市西區台灣大道二段218號24樓,專科以上,不拘,2 年以上,,人資發展部/招募組
8,【總公司_資訊部】管理師,薪資面議(經常性薪資達4萬元含以上),新東陽股份有限公司,台北市大安區,,1.SAP MM模組日常維護2.POS/WMS外部系統串接3.熟SAP ABAP程式設計,全職,09:00~18:00、白天班,台北市大安區忠孝東路四段289號8樓,大學以上,,2 年以上,,HR
9,總公司 Junior Data Product Manager_台北,薪資面議(經常性薪資達4萬元含以上),(家樂福)家福股份有限公司,台北市北投區,,- BI 及 AI 產品維運：使用者問題釐清排除、使用狀況及資源監測、教育訓練講授與規劃。- BI 及 AI 專案管理：需求訪談、專案規劃、預算監控、執行與追蹤、結案。- 數據分析：報表製作、營運分析。- 其他數據相關專案支援及行政庶務事項。,全職,09:00~18:30,台北市北投區大業路136號,大學以上,不拘,1 年以上,,人力資源部
